ip,hostname,city,region,country,loc,org,postal,timezone,anycast
103.101.81.187,,Phnom Penh,Phnom Penh,KH,"11.5625,104.9160","AS137236 TURBOTECH CO., LTD.",,Asia/Phnom_Penh,
69.46.57.86,,Mount Vernon,Texas,US,"33.1887,-95.2213",AS40317 Peoples Communications Inc.,75457,America/Chicago,
119.247.195.229,119247195229.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
39.170.43.70,,Hangzhou,Zhejiang,CN,"30.2936,120.1614",AS56041 China Mobile communications corporation,,Asia/Shanghai,
178.77.121.116,n178-77-121-116.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
17.253.26.193,uschi5-edge-get-001.b.aaplimg.com,Chicago,Illinois,US,"41.8500,-87.6500",AS6185 Apple Inc.,60666,America/Chicago,
101.177.104.125,cpe-101-177-104-125.sb05.sa.asp.telstra.net,Adelaide,South Australia,AU,"-34.9287,138.5986",AS1221 Telstra Corporation Ltd,5000,Australia/Adelaide,
108.240.247.248,108-240-247-248.lightspeed.frsnca.sbcglobal.net,Clovis,California,US,"36.8149,-119.7106","AS7018 AT&T Services, Inc.",93612,America/Los_Angeles,
192.170.131.40,,Quitman,Texas,US,"32.7960,-95.4511",AS40317 Peoples Communications Inc.,75783,America/Chicago,
68.168.207.86,,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
66.230.241.231,,Dubuque,Iowa,US,"42.5122,-90.7384","AS398844 COMELEC SERVICES, INC",52002,America/Chicago,
203.7.171.174,,Curug,Banten,ID,"-6.2658,106.5564",AS55691 Universitas Multimedia Nusantara,,Asia/Jakarta,
38.89.149.66,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
92.203.157.191,fp5ccb9dbf.stmb117.ap.nuro.jp,Yashio,Saitama,JP,"35.8225,139.8390",AS2527 Sony Network Communications Inc.,340-0815,Asia/Tokyo,
104.244.117.252,mcfiuu.myakkatech.com,Utopia,Florida,US,"27.2901,-82.3601","AS16803 Myakka Technologies, Inc.",34240,America/New_York,
66.63.246.203,inet-66-63-246-203.industryinet.com,Bellville,Texas,US,"29.9502,-96.2572","AS32262 Industry I-Net, Inc.",77418,America/Chicago,
104.10.145.1,104-10-145-1.lightspeed.milwwi.sbcglobal.net,Milwaukee,Wisconsin,US,"43.0389,-87.9065","AS7018 AT&T Services, Inc.",53201,America/Chicago,
72.9.83.140,140-83-9-72-in-addr-arpa.brightok.net,Sulphur,Oklahoma,US,"34.5079,-96.9684",AS8025 BrightNet Oklahoma,73086,America/Chicago,
17.253.57.19,defra3-edge-bx-010.aaplimg.com,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",AS6185 Apple Inc.,60306,Europe/Berlin,
185.169.239.86,dynamic-host-185-169-239-86.customers.warian.net,Naples,Campania,IT,"40.8522,14.2681",AS56911 Warian S.R.L.,80100,Europe/Rome,
173.225.6.20,host-173-225-6-20.madisoncounty.net,Huntsville,Arkansas,US,"36.0862,-93.7413",AS46979 Madison County Telephone Company,72740,America/Chicago,
41.221.52.10,,Dar es Salaam,Dar es Salaam,TZ,"-6.8235,39.2695",AS36965 WIA Tanzania,,Africa/Dar_es_Salaam,
61.239.167.122,061239167122.ctinets.com,Yuen Long Kau Hui,Yuen Long,HK,"22.4500,114.0333",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
17.253.83.202,uslax1-vip-bx-004.b.aaplimg.com,Los Angeles,California,US,"34.0522,-118.2437",AS6185 Apple Inc.,90009,America/Los_Angeles,
45.25.42.139,45-25-42-139.lightspeed.tukrga.sbcglobal.net,Braselton,Georgia,US,"34.1093,-83.7627","AS7018 AT&T Services, Inc.",30517,America/New_York,
122.103.181.103,122-103-181-103.tokyo.fdn.vectant.ne.jp,Hatsudai,Tokyo,JP,"35.6843,139.6806",AS2519 ARTERIA Networks Corporation,151-0071,Asia/Tokyo,
17.253.122.33,frmrs1-edge-bx-001.a.aaplimg.com,Marseille,Provence-Alpes-Côte d'Azur,FR,"43.2970,5.3811",AS714 Apple Inc.,13000,Europe/Paris,
219.79.127.165,n219079127165.netvigator.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS4760 HKT Limited,,Asia/Hong_Kong,
144.134.99.180,cpe-144-134-99-180.qb05.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
63.251.163.238,,Seattle,Washington,US,"47.6062,-122.3321",AS14744 Unitas Global,98101,America/Los_Angeles,
195.32.117.128,host128-117-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
118.174.187.175,,Phang Nga,Phang Nga,TH,"8.4509,98.5298",AS23969 TOT Public Company Limited,82180,Asia/Bangkok,
36.95.5.18,,Pontianak,West Kalimantan,ID,"-0.0319,109.3250",AS7713 PT Telekomunikasi Indonesia,,Asia/Pontianak,
124.244.78.233,124244078233.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
160.86.200.5,fpa056c805.sigj503.ap.nuro.jp,Ōtsu,Shiga,JP,"35.0000,135.8667",AS2527 Sony Network Communications Inc.,520-0043,Asia/Tokyo,
121.209.20.17,cpe-121-209-20-17.nb03.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
83.227.85.48,c-3055e353.030-176-73746f71.bbcust.telenor.se,Stockholm,Stockholm,SE,"59.3294,18.0687",AS2119 Telenor Norge AS,100 05,Europe/Stockholm,
